"REC_REF_KEY","MODEL_NUM_1","BRAND_NAME","EE_RATIO","COOL_CAP_KW","COOL_CAP_BTU","PROD_CLASS_LABEL_EN","PROD_CLASS_LABEL_FR","HEAT_ELEMENT_LABEL_EN","HEAT_ELEMENT_LABEL_FR","VOLTAGE_LABEL_EN","VOLTAGE_LABEL_FR","ENERGUIDE_LABEL_EN","ENERGUIDE_LABEL_FR","REVERSE_CYCLES_LABEL_EN","REVERSE_CYCLES_LABEL_FR","AMPS"
191442,"SCA09LS","Wallmate",8.7,2.723,9300,"non-louvered","appareils à évents sans lame","no electric heating elements","sans éléments électriques de chauffage","120","120","non-louvred without reverse cycle","sans lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",10
220965,"13-04514","Gree",9.7,1.523,5200,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","120","120","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",4.7
827371,"13-04596","ForestAir",10.5,2.401,8200,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","120","120","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",5.2
827372,"13-04597","ForestAir",9.8,2.928,10000,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","120","120","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",9.5
827376,"13-04547","Fellini",10.7,1.757,6000,"louvered","appareils à évents lame","with electric heating elements","dotée d'éléments électriques de chauffage","120","120","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",4.9
827378,"13-04531","Fellini",10.8,2.928,10000,"louvered","appareils à évents lame","with electric heating elements","dotée d'éléments électriques de chauffage","120","120","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",3.6
1402316,"13-04593","ForestAir",10.8,2.987,10200,"casement-slider","fenêtres à battants ou coulissante","no electric heating elements","sans éléments électriques de chauffage","120","120","casement-slider","à battants ou coulissante","without a reverse cycle","sans cycle réversible",8.6
1664681,"13-04588","ForestAir",9.7,1.523,5200,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","120","120","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",4.9
1664683,"13-04590","ForestAir",10.7,1.815,6200,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","120","120","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",5.3
1664684,"13-04591","ForestAir",9.8,2.342,8000,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","120","120","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",5.5
1664685,"13-04592","ForestAir",10.8,2.401,8200,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","120","120","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",7.1
