"REF_DATE","GEO","DGUID","Air conditioners","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Canada","2016A000011124","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709552","1.1","55","","","","0"
"2013","Canada","2016A000011124","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709553","1.2","37","","","","0"
"2013","Canada","2016A000011124","Central air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709554","1.3","67","","","","0"
"2013","Canada","2016A000011124","Stand-alone air conditioner, as a percentage of all households","Percent","239","units ","0","v95709555","1.4","18","","","","0"
"2013","Canada","2016A000011124","Stand-alone air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709556","1.5","33","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709557","2.1","9","E","","","0"
"2013","Newfoundland and Labrador","2016A000210","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709558","2.2","4","E","","","0"
"2013","Newfoundland and Labrador","2016A000210","Central air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709559","2.3","44","E","","","0"
"2013","Newfoundland and Labrador","2016A000210","Stand-alone air conditioner, as a percentage of all households","Percent","239","units ","0","v95709560","2.4","5","E","","","0"
"2013","Newfoundland and Labrador","2016A000210","Stand-alone air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709561","2.5","49","E","","","0"
"2013","Prince Edward Island","2016A000211","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709562","3.1","23","","","","0"
"2013","Prince Edward Island","2016A000211","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709563","3.2","8","E","","","0"
"2013","Prince Edward Island","2016A000211","Central air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709564","3.3","34","E","","","0"
"2013","Prince Edward Island","2016A000211","Stand-alone air conditioner, as a percentage of all households","Percent","239","units ","0","v95709565","3.4","15","E","","","0"
"2013","Prince Edward Island","2016A000211","Stand-alone air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709566","3.5","65","","","","0"
"2013","Nova Scotia","2016A000212","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709567","4.1","28","","","","0"
"2013","Nova Scotia","2016A000212","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709568","4.2","7","E","","","0"
"2013","Nova Scotia","2016A000212","Central air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709569","4.3","26","","","","0"
"2013","Nova Scotia","2016A000212","Stand-alone air conditioner, as a percentage of all households","Percent","239","units ","0","v95709570","4.4","21","","","","0"
"2013","Nova Scotia","2016A000212","Stand-alone air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709571","4.5","74","","","","0"
"2013","New Brunswick","2016A000213","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709572","5.1","41","","","","0"
"2013","New Brunswick","2016A000213","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709573","5.2","12","","","","0"
"2013","New Brunswick","2016A000213","Central air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709574","5.3","30","","","","0"
"2013","New Brunswick","2016A000213","Stand-alone air conditioner, as a percentage of all households","Percent","239","units ","0","v95709575","5.4","28","","","","0"
"2013","New Brunswick","2016A000213","Stand-alone air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709576","5.5","70","","","","0"
"2013","Quebec","2016A000224","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709577","6.1","54","","","","0"
"2013","Quebec","2016A000224","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709578","6.2","22","","","","0"
"2013","Quebec","2016A000224","Central air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709579","6.3","41","","","","0"
"2013","Quebec","2016A000224","Stand-alone air conditioner, as a percentage of all households","Percent","239","units ","0","v95709580","6.4","32","","","","0"
"2013","Quebec","2016A000224","Stand-alone air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709581","6.5","59","","","","0"
"2013","Ontario","2016A000235","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709582","7.1","78","","","","0"
"2013","Ontario","2016A000235","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709583","7.2","63","","","","0"
"2013","Ontario","2016A000235","Central air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709584","7.3","80","","","","0"
"2013","Ontario","2016A000235","Stand-alone air conditioner, as a percentage of all households","Percent","239","units ","0","v95709585","7.4","16","","","","0"
"2013","Ontario","2016A000235","Stand-alone air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709586","7.5","20","","","","0"
"2013","Manitoba","2016A000246","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709587","8.1","80","","","","0"
"2013","Manitoba","2016A000246","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709588","8.2","61","","","","0"
"2013","Manitoba","2016A000246","Central air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709589","8.3","75","","","","0"
