,station,design_temp,province
1,Banff CS,78,AB
2,Bow Island,85,AB
3,Bow Valley,80,AB
4,Breton Plots,80,AB
5,Brooks,86,AB
6,Calgary IAP,80,AB
7,Camrose,79,AB
8,Cardston,84,AB
9,Claresholm,84,AB
10,Cold Lake AP,79,AB
11,Cop Upper,79,AB
12,Coronation,82,AB
13,Crowsnest,80,AB
14,Drumheller East,85,AB
15,"Edmonton, City Centre AP",79,AB
16,"Edmonton, IAP",78,AB
17,"Edmonton, Namao AP",78,AB
18,Edson AP,77,AB
19,Elk Island National Park,80,AB
20,Esther 1,86,AB
21,Fort Chipewyan AP,78,AB
22,Fort Mcmurray AP,80,AB
23,Garden River,80,AB
24,Grande Prairie AP,78,AB
25,High Level AP,78,AB
26,Highvale,78,AB
27,Jasper,78,AB
28,Jasper Warden,81,AB
29,Lac La Biche,78,AB
30,Lacombe,79,AB
31,Lethbridge AP,85,AB
32,Lethbridge,86,AB
33,Lloydminster AP,80,AB
34,McMurray AP,80,AB
35,Medicine Hat AP,87,AB
36,Mildred Lake,81,AB
37,Milk River,86,AB
38,Nakiska Ridgetop,62,AB
39,Onefour,88,AB
40,Peace River AP,78,AB
41,Pincher Creek,82,AB
42,Red Deer AP,79,AB
43,Red Earth,79,AB
44,Rocky Mtn. House,77,AB
45,Slave Lake AP,76,AB
46,Springbank AP,77,AB
47,Stavely AACF,78,AB
48,Sundre AP,79,AB
49,Three Hills,82,AB
50,Vauxhall,86,AB
51,Vegreville,80,AB
52,Vermilion AP,80,AB
53,Wainwright CFB Airfield 21,82,AB
54,Waterton Park Gate,82,AB
55,Whitecourt AP,76,AB
57,Abbotsford AP,82,BC
58,Agassiz,83,BC
59,Alert Bay,65,BC
60,Amphitrite Point,64,BC
61,Ballenas Island,73,BC
62,Blue River,83,BC
63,Bonilla Island,60,BC
64,Burns Lake Decker Lake,77,BC
65,Cape Scott,61,BC
66,Cape St James,64,BC
67,Castlegar AP,88,BC
68,Cathedral Point,70,BC
69,Clinton,81,BC
70,Comox AP,76,BC
71,Cranbrook AP,85,BC
72,Creston Campbell Scientific,87,BC
73,Cumshewa Island,63,BC
74,Dawson Creek,79,BC
75,Dease Lake,72,BC
76,Discovery Island,70,BC
77,Entrance Island,72,BC
78,Esquimalt Harbour,70,BC
79,Estevan Point,66,BC
80,Fort Nelson AP,79,BC
81,Fort St. John AP,76,BC
82,Grey Islet,64,BC
83,Herbert Island,60,BC
84,Holland Rock,60,BC
85,Hope,83,BC
86,Howe Sound - Pam Rocks,74,BC
87,Kamloops AP,89,BC
88,Kelowna AP,87,BC
89,Kindakun Rocks,61,BC
90,Langara,59,BC
91,Lillooet,91,BC
92,Lucy Island Lightstation,62,BC
93,Lytton,91,BC
94,Mackenzie AP,77,BC
95,Malahat,78,BC
96,Nakusp,84,BC
97,Namaimo,80,BC
98,Nelson,85,BC
99,New Westminster,81,BC
100,Osoyoos,92,BC
101,Pemberton AP,88,BC
102,Penticton AP,87,BC
103,Pitt Meadows,83,BC
104,Point Atkinson,75,BC
105,Port Alberni,84,BC
106,Port Hardy AP,66,BC
107,Prince George AP,78,BC
108,Prince Rupert AP,64,BC
109,Princeton,88,BC
110,Puntzi Mountain,80,BC
111,Quesnel AP,81,BC
112,Revelstoke AP,83,BC
113,Rose Spit,61,BC
114,Salmon Arm,87,BC
115,Sandheads,70,BC
116,Sandspit AP,65,BC
117,Sartine Island,60,BC
118,Sheringham Point,67,BC
119,Sisters Island,72,BC
120,Smithers AP,77,BC
121,Solander Island,61,BC
122,Sparwood,82,BC
123,Spring Island,66,BC
124,Squamish,81,BC
125,Summerland,88,BC
126,Terrace AP,78,BC
127,Tofino AP,68,BC
128,Trail,89,BC
129,Vancouver Harbour,76,BC
130,Vancouver IAP,74,BC
131,Vernon,88,BC
132,Victoria Gonzales,72,BC
133,Victoria Hartland,80,BC
134,Victoria IAP,76,BC
135,Victoria Marine,67,BC
136,Victoria University,77,BC
137,West Vancouver,78,BC
138,White Rock,74,BC
139,Williams Lake AP,79,BC
140,Yoho Park,74,BC
142,Berens River,79,MB
143,Brandon AP,83,MB
144,Carberry,83,MB
145,Carman U of M,84,MB
146,Churchill AP,74,MB
147,Dauphin AP,83,MB
148,Delta Marsh,82,MB
149,Emerson,84,MB
150,Fisher Branch,82,MB
151,George Island,73,MB
152,Gillam AP,78,MB
153,Gimli Industrial Park,81,MB
154,Grand Rapids,81,MB
155,Gretna,84,MB
156,Hunters Point,78,MB
157,Island Lake AP,79,MB
158,Lynn Lake AP,79,MB
159,Melita,84,MB
160,Norway House AP,79,MB
161,Oakpoint,79,MB
162,Pilot Mound,82,MB
163,Pinawa,82,MB
164,"Portage, Southport AP",86,MB
165,Flin Flon,81,MB
166,Roblin,81,MB
167,Shoal Lake,80,MB
168,Sprague,82,MB
169,Swan River,82,MB
170,The Pas AP,80,MB
171,Thompson AP,80,MB
172,Victoria Beach,79,MB
173,Wasagaming,80,MB
174,Wilson Creek Weir,82,MB
175,Winnipeg Richardson IAP,84,MB
177,Bas Caraquet,79,NB
178,Charlo AP,79,NB
179,Chatham AP,83,NB
180,Edmundston CO,83,NB
181,Fredericton AP,82,NB
182,Miramichi AP,83,NB
183,Miramichi,84,NB
184,Miscou Island,76,NB
185,Moncton AP,80,NB
186,Point Escuminac,77,NB
187,Point Lepreau,71,NB
188,Saint John AP,76,NB
189,St Leonard,80,NB
190,St Stephen,82,NB
192,Argentia,66,NL
193,Badger,80,NL
194,Battle Harbour,60,NL
195,Bonavista,72,NL
196,Burgeo 2,67,NL
197,Cape Kakkiviak,59,NL
198,Cape Race,64,NL
199,Cartwright,71,NL
200,Churchill Falls,72,NL
201,Comfort Cove,76,NL
202,Corner Brook,76,NL
203,Daniels Harbour,67,NL
204,Deer Lake AP,77,NL
205,Englee,70,NL
206,Ferolle Point,65,NL
207,Gander IAP,76,NL
208,Goose Bay AP,78,NL
209,Grates Cove,71,NL
210,Hopedale,68,NL
211,La Scie,76,NL
212,Marticot Island,65,NL
213,Pools Island,71,NL
214,Port Aux Basques,67,NL
215,Saglek,63,NL
216,Sagona Island,65,NL
217,St Anthony,70,NL
218,St John's AP,73,NL
219,St Lawrence,70,NL
220,Stephenville AP,71,NL
221,Twillingate,73,NL
222,Wabush Lake AP,73,NL
224,Aulavik National Park,56,NT
225,Cape Parry AP,55,NT
226,Colville Lake,72,NT
227,Fort Good Hope,79,NT
228,Fort Liard,80,NT
229,Fort Providence,80,NT
230,Fort Reliance,70,NT
231,Fort Simpson AP,80,NT
232,Fort Smith AP,79,NT
233,Hanbury River,71,NT
234,Hay River AP,77,NT
235,Inner Whalebacks,66,NT
236,Inuvik AP,75,NT
237,Lac La Martre,78,NT
238,Lindburg Landing,79,NT
239,Little Chicago,78,NT
240,Liverpool Bay,65,NT
241,Mould Bay AP,47,NT
242,Nicholson Peninsula,64,NT
